t-SNE Dimension 1,t-SNE Dimension 2
35.015644,-4.342235
40.86897,1.0876187
33.925533,-8.709363
37.833813,-0.56894994
32.241554,-4.87061
35.419422,-4.841588
39.581387,1.7321559
38.36638,0.42517313
35.796852,-6.92557
35.034615,-6.0916004
35.044678,-1.1479806
35.762062,-0.8103959
38.577805,1.4791226
32.074146,-2.225036
39.240124,1.2934483
36.6215,1.2570757
33.09744,-10.278491
32.26854,-10.05914
37.311764,-13.670015
38.319378,-0.24938583
36.810493,-2.5249317
37.080868,-0.59197956
34.058468,-7.3568945
33.48392,-4.558746
33.492893,-8.022907
34.690117,-4.7216086
33.4127,-3.6113136
33.671883,-11.841411
35.688133,-1.7780193
33.46172,-10.32126
37.155388,0.27722573
36.470654,-1.8739734
35.2919,-5.910838
34.81119,-2.8687255
35.02917,-1.9012523
32.63599,-9.367652
34.06983,-3.8630211
31.977577,-9.31851
5.5252824,12.803301
4.1978693,-13.6053295
12.831775,24.401012
13.051987,21.919039
4.9235454,-12.624473
4.7398105,6.1876607
8.402904,-6.128732
5.252668,12.688273
5.146356,6.3061037
4.2474475,-13.133324
2.304119,-12.518042
3.8374207,-0.44993287
5.8900113,-14.626578
11.932333,23.658743
2.598695,-7.112298
2.244426,-1.7863599
4.364754,1.050916
2.631908,2.4597566
7.2226996,15.622513
3.0332608,1.4316688
6.295468,11.283099
4.72871,13.673603
6.250985,-10.35997
3.695991,5.738433
1.8700035,-5.453174
0.8229081,1.7825526
3.2019567,-1.8396286
1.0558177,-5.470298
-2.8695316,-6.985613
1.1526669,-5.7681503
-0.6357892,-2.5481186
4.3865347,15.04707
-0.68964505,-3.1754873
0.9992001,-3.6947412
-21.51598,18.448936
-6.3182745,26.756927
0.723762,-8.748191
-9.306234,13.919765
5.5550785,27.397696
9.472035,-31.544573
-1.3418946,-13.719121
8.915708,-29.66613
9.834061,19.96621
2.611823,-27.737738
0.93189406,5.936452
9.969857,24.201067
5.368377,-1.5806637
3.9066417,10.143088
3.686647,-16.877077
3.9981046,-25.832644
7.105816,-27.388565
5.7520657,2.7962244
10.310695,-27.52486
8.650509,1.8932451
12.040499,18.282036
14.435789,22.246077
10.669541,-7.1252885
6.628873,6.462201
5.7425694,2.0997481
4.5013523,10.452042
12.4893875,23.516943
2.0463412,-12.615916
11.75886,23.500383
9.669812,26.010052
3.5161583,-0.98079526
4.1731496,4.8010974
2.3368886,-7.6694703
-2.3019106,-6.5060396
1.3866845,2.6954343
0.65234125,-1.35707
2.1684487,-28.70499
-12.552525,14.7947445
-2.5044034,-8.911101
4.14152,14.985755
-12.975956,15.71503
6.847908,-29.099045
2.1739037,-8.425297
11.792502,-31.89258
7.312211,16.01711
3.605161,-14.001691
14.371968,26.333487
13.918364,24.10292
13.113281,7.733849
14.141892,21.55459
9.858008,-5.8549805
40.145912,2.6017284
35.40399,1.9152453
34.5686,-6.333581
33.215168,-9.064086
37.731884,0.60520935
37.400364,1.0166736
32.470345,-4.50141
31.95499,-7.320604
34.428894,-3.4246862
33.122345,-5.7266765
36.022835,0.42055374
37.601017,1.526756
33.167946,-6.5828624
33.89957,-5.185695
32.88445,-7.8640604
34.675358,-1.351012
32.620625,-2.2885516
33.189922,-2.1442268
34.56296,0.0013036034
32.344105,-6.3851213
2.5763211,1.5213488
3.428794,-13.654692
-2.7581525,-5.174179
-0.83785194,-7.7914906
