t-SNE Dimension 1,t-SNE Dimension 2
-33.462708,-4.051049
-16.905323,-23.475512
-26.896984,11.714895
-18.512474,-20.203197
-6.403635,29.533777
-30.753317,-3.757582
-16.909325,-22.252598
-7.7286644,-28.351181
-30.243547,-3.960902
-5.512993,29.486074
-4.5453277,29.722425
-27.64653,8.796955
-22.647667,15.047867
-5.958897,-26.391481
-25.716755,0.5413957
-4.0011086,-30.200296
-4.6825233,28.883612
-3.1267378,-16.745916
-6.2940025,25.030773
-24.352043,0.08447397
-6.2331176,25.046085
-5.725129,-7.1513953
-15.829175,-16.273848
-21.671904,-1.8727486
-20.984999,1.5857062
5.169372,26.278845
-15.483838,14.974562
-16.3858,9.930683
-11.829677,19.725378
-16.360466,21.743101
-13.99055,5.1397495
-18.249079,-0.15942349
-19.035564,10.66418
-23.0446,-4.1819854
-2.722253,-28.516052
-6.1763735,23.98658
-14.388535,4.2337627
-23.421062,16.598768
-19.966345,1.8172475
-14.500015,17.537973
-13.382376,7.2124376
-19.884724,17.246172
-16.277487,11.192282
-16.076096,0.7734132
-3.3078887,-19.069452
-16.909323,11.735601
-9.660587,18.835508
-16.48923,-1.553069
-13.026018,6.4891696
-9.089011,-10.133493
-11.756882,-11.597241
-11.456452,-14.260623
-18.060211,17.159668
-18.010239,17.952753
-16.386812,3.9017236
6.7189937,-29.101583
-7.427327,18.97733
10.737969,-32.050762
-2.0370643,-23.708942
13.623082,26.14381
7.226173,-15.160415
9.220102,25.791267
8.997592,21.251753
3.433742,2.7191286
3.588632,-15.930899
4.643639,4.627928
7.9681582,-13.59055
3.1550512,-15.86447
9.5924835,18.94467
8.751678,-15.49132
3.5652974,-26.161167
8.385822,-23.151173
13.236773,20.526026
6.238229,4.8765316
7.628372,5.1240067
11.012251,17.967682
8.939377,0.50632054
-6.58417,2.6190634
-8.5526495,-8.317836
-15.632221,-1.7989874
-2.622427,-12.960466
-19.800508,18.230494
-4.2599545,-22.8541
-18.577553,14.0807905
-1.5557405,-15.907333
-9.287859,-11.10655
-1.3778263,18.267687
-8.75232,1.2256873
-1.4996657,-16.123327
-5.7746053,-10.581589
-3.9868405,-25.770386
-6.3503633,-18.566599
-2.554113,-24.898207
-3.5582345,-23.782484
-4.281674,16.69354
-0.046395272,-16.235
-4.8673496,-13.836972
-2.5607266,-19.352884
10.600213,20.42268
16.194729,17.898
10.464135,6.9318576
13.291776,11.972854
11.726436,-21.682804
6.123726,-6.437012
12.52555,1.5221334
11.5844555,11.476804
15.849355,17.535059
11.785754,-26.048841
12.073927,-21.535141
13.2517,-9.028473
16.744875,16.231596
13.058719,2.9583635
12.11716,-22.426594
13.297376,-4.011871
14.15282,-16.113367
11.802775,-25.076252
15.520857,14.307894
18.63997,24.436764
14.250806,-10.050366
9.943421,-24.319164
17.913902,21.582373
12.226395,-13.583057
11.428638,-13.908194
15.887416,-28.50476
19.61016,-19.194397
19.827425,17.882248
16.940905,-12.009962
16.478132,-16.631838
14.149237,-13.265683
19.466269,19.17953
19.733192,17.283009
19.164274,11.721244
18.600393,9.585784
17.633245,-11.572794
18.682991,8.537306
16.269768,-17.431982
18.40472,11.736122
7.87524,9.538368
14.720634,5.6761312
14.876379,17.036331
13.154004,-14.928964
11.018478,-24.244183
7.8218746,7.5231104
6.6400857,-3.0745869
7.8968844,-18.044508
8.970816,-16.782892
-5.0293345,3.3102875
2.046474,8.415392
1.3225029,-22.250017
-6.3840218,-9.63727
-1.4308774,18.804255
-1.4658195,-17.062525
-4.9678006,-11.967798
8.140714,22.130066
-0.06889801,10.501538
-2.0852132,-22.609837
11.412795,-30.712086
5.8665147,-1.5370439
10.523251,-29.656914
11.330317,3.2533288
15.774983,18.23164
13.534564,-30.433355
14.627011,-1.6750854
14.619973,9.316377
18.767347,22.459057
14.768385,-29.077183
16.179836,-15.005323
15.520075,-28.343704
21.03215,3.971555
16.84215,-15.22819
19.14905,6.5322723
20.907017,17.943882
18.305367,-13.3138275
20.935814,16.648617
15.431951,-30.633417
20.860384,4.574342
20.093182,5.2043924
21.054607,10.836362
19.65891,-13.052142
21.033916,9.406393
20.906797,17.137785
20.868416,18.752445
18.611776,-16.169443
18.31722,-15.987752
20.592995,17.875422
17.214306,-16.41365
17.919186,4.1636176
16.022078,10.244406
13.190222,-24.821043
13.288509,-26.416283
15.288582,-28.097897
15.063901,-30.406347
19.403797,-17.702522
18.563618,10.182768
15.757296,-29.162148
18.290123,6.663346
20.479666,13.878891
18.01974,-2.3716617
15.350846,6.641782
19.855824,22.281143
17.530754,-10.710064
16.055979,-18.095749
17.992079,-2.9385483
14.93133,-12.891825
20.16465,12.8106575
13.63609,-6.420522
18.032866,-2.1463258
18.26162,15.250743
15.7778845,-11.204759
14.426187,-14.081251
16.39509,-12.724349
11.614019,-7.620565
10.499399,-7.5421023
15.172199,21.577223
7.029797,-10.298406
17.352543,22.519077
0.40894613,13.3106365
12.197359,13.546971
9.729384,-15.264171
2.466848,8.741872
7.362467,-17.104542
16.485928,18.792624
10.672513,19.833956
10.79829,11.925949
10.223476,-3.7014062
4.237425,-19.90638
12.408692,14.60982
8.444069,-3.648944
11.8632965,2.5153594
11.063618,2.676014
10.6091175,-16.030268
16.203625,19.09648
10.430259,5.301292
11.745541,19.288548
-4.4860444,2.388545
-0.8058721,7.073922
-0.24397512,-20.41822
-4.0817246,7.1124864
-1.3525388,-22.152136
